generation,chromosome_index,dense_neuron,dropout,learning_rate,batch_size,fitness
1,1,64,0.2,0.0001,32,0.8922155499458313
1,2,128,0.3,0.001,16,0.910179615020752
1,3,64,0.5,0.001,16,0.916167676448822
1,4,64,0.3,0.001,16,0.910179615020752
1,5,128,0.5,0.001,32,0.916167676448822
1,6,256,0.2,0.001,32,0.9041916131973267
2,1,64,0.5,0.001,16,0.9131736755371094
2,2,128,0.5,0.001,32,0.9191616773605347
2,3,64,0.5,0.001,32,0.916167676448822
2,4,128,0.5,0.001,16,0.9131736755371094
2,5,64,0.5,0.001,32,0.8922155499458313
2,6,128,0.5,0.001,16,0.8982036113739014
3,1,128,0.5,0.001,32,0.9191616773605347
3,2,64,0.5,0.001,32,0.9131736755371094
3,3,128,0.5,0.001,16,0.9041916131973267
3,4,64,0.5,0.001,32,0.9131736755371094
3,5,128,0.5,0.001,32,0.9221556782722473
3,6,64,0.5,0.001,32,0.8982036113739014
4,1,128,0.5,0.001,32,0.910179615020752
4,2,128,0.5,0.001,32,0.916167676448822
4,3,128,0.5,0.001,32,0.9071856141090393
4,4,128,0.5,0.001,32,0.9041916131973267
4,5,128,0.5,0.001,32,0.9221556782722473
4,6,128,0.5,0.001,32,0.9041916131973267
5,1,128,0.5,0.001,32,0.910179615020752
5,2,128,0.5,0.001,32,0.9071856141090393
5,3,128,0.5,0.001,32,0.9131736755371094
5,4,128,0.5,0.001,32,0.9071856141090393
5,5,128,0.5,0.0001,32,0.8892215490341187
5,6,128,0.5,0.001,32,0.9041916131973267





