image_path,label,week
Research Data Set each week\Week 1\Wheats\1.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\10.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\11.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\12.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\2.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\3.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\4.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\5.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\6.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\7.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\8.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\9.PNG,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_091931.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_091940.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_091942.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092005.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092007.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092014.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092019.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092042.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092048.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092205.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092209.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092251.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092751.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092754.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092757.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092813.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092836.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092839.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092938.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_092958.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093002.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093023.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093032.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093037.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093041.jpg,Wheats,Week 1
